category,is_essential
Direct Life Insurance Carriers,1
"Motorcycle, ATV, and All Other Motor Vehicle Dealers",1
"Financial Transactions Processing, Reserve, and Clearinghouse Activities",1
Sporting and Recreational Goods and Supplies Merchant Wholesalers,0
Fossil Fuel Electric Power Generation,1
"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",1
Men's and Boys' Clothing and Furnishings Merchant Wholesalers,0
Automobile and Other Motor Vehicle Merchant Wholesalers,1
General Rental Centers,0
RV (Recreational Vehicle) Parks and Campgrounds,1
Child and Youth Services,0
Drugs and Druggists' Sundries Merchant Wholesalers,1
Baked Goods Stores,0
Limousine Service,0
Psychiatric and Substance Abuse Hospitals,1
Freight Transportation Arrangement,1
Other Grantmaking and Giving Services,1
Refrigeration Equipment and Supplies Merchant Wholesalers,1
Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,1
Automotive Glass Replacement Shops,1
All Other Transit and Ground Passenger Transportation,1
"Roofing, Siding, and Insulation Material Merchant Wholesalers",1
Cosmetology and Barber Schools,0
Sporting and Athletic Goods Manufacturing,0
"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",1
Hydroelectric Power Generation,1
Nursery and Tree Production,1
Taxi Service,1
Interurban and Rural Bus Transportation,1
Tire Dealers,1
All Other Health and Personal Care Stores,1
Computer Training,0
Home Centers,1
Sports and Recreation Instruction,0
Other Grocery and Related Products Merchant Wholesalers,1
Other Commercial and Industrial Machinery and Equipment Rental and Leasing,1
"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",1
"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",1
Other Chemical and Allied Products Merchant Wholesalers,1
Miscellaneous Financial Investment Activities,1
All Other Support Services,1
Residential Remodelers,1
Motor Vehicle Supplies and New Parts Merchant Wholesalers,1
Exterminating and Pest Control Services,1
Educational Support Services,0
All Other Outpatient Care Centers,1
Executive Offices,0
Industrial Supplies Merchant Wholesalers,1
Administration of Veterans' Affairs,0
Stationery Product Manufacturing,1
Barber Shops,0
Footwear Merchant Wholesalers,0
"Data Processing, Hosting, and Related Services",1
Security Systems Services (except Locksmiths),1
Amusement Arcades,0
Other Electronic and Precision Equipment Repair and Maintenance,1
National Security,1
Automobile Manufacturing,1
Casino Hotels,0
Household Appliance Stores,1
Flight Training,0
Direct Mail Advertising,1
Business and Secretarial Schools,0
Mortgage and Nonmortgage Loan Brokers,1
Services for the Elderly and Persons with Disabilities,1
Nursing Care Facilities (Skilled Nursing Facilities),1
Investment Banking and Securities Dealing,1
Recyclable Material Merchant Wholesalers,1
Packing and Crating,0
Other Electronic Parts and Equipment Merchant Wholesalers,1
Solar Electric Power Generation,1
Commercial Printing (except Screen and Books),1
Greeting Card Publishers,0
Direct Title Insurance Carriers,1
Natural Gas Distribution,1
All Other Automotive Repair and Maintenance,1
Other Measuring and Controlling Device Manufacturing,0
Community Food Services,1
"Promoters of Performing Arts, Sports, and Similar Events with Facilities",0
Caterers,0
Bus and Other Motor Vehicle Transit Systems,1
Apparel Accessories and Other Apparel Manufacturing,0
Locksmiths,1
Materials Recovery Facilities,0
Zoos and Botanical Gardens,0
Specialty (except Psychiatric and Substance Abuse) Hospitals,1
Other Personal and Household Goods Repair and Maintenance,1
Flooring Contractors,0
Sound Recording Studios,0
Other Accounting Services,1
Inland Water Passenger Transportation,1
Motor Vehicle Parts (Used) Merchant Wholesalers,1
Heavy Duty Truck Manufacturing,1
Ambulance Services,1
Major Household Appliance Manufacturing,1
Diagnostic Imaging Centers,1
Reupholstery and Furniture Repair,1
"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",1
"Nursery, Garden Center, and Farm Supply Stores",1
Courts,1
Meat Markets,1
Offices of Notaries,1
Other Building Finishing Contractors,1
Skiing Facilities,1
Temporary Shelters,1
